FILE NAME,TITLE,ARTIST,CONTENT TYPE,SCORE,QUALITY,SCORE,GENRE,SCORE,GENRE SECONDARY,SCORE,GENRE V3,SCORE,GENRE V3,SCORE,GENRE V3,SCORE,GENRE V3,SCORE,MOOD,SCORE,MOOD SECONDARY,SCORE,MOOD VALENCE,SCORE,BPM,SCORE,BPM ALT,SCORE,BPM VARIATION,SCORE,KEY,SCORE,KEY SECONDARY,SCORE,KEY SHARP,SCORE,KEY SHARP SECONDARY,SCORE,KEY FLAT,SCORE,KEY FLAT SECONDARY,SCORE,ENERGY,SCORE,ENERGY VARIATION,SCORE,INSTRUMENTATION,SCORE,VOCAL PRESENCE,SCORE,VOCAL GENDER,SCORE,INSTRUMENT,SCORE,INSTRUMENT,SCORE,INSTRUMENT,SCORE,INSTRUMENT,SCORE
Retaliation.wav,Unknown,Unknown,music,99,high,71,,,,,Hip Hop,100,Trap,35,Pop Rap,27,,,powerful,61,angry,31,negative,88,140,93,,,small,1,,,,,C minor,96,,,,,,,medium,3,small,1,vocal,100,high,4,male,89,percussion,100,,,,,,
Spy Network.wav,Unknown,Unknown,music,100,low,31,,,,,Electronic,100,Downtempo,54,,,,,dark,52,quirky,23,negative,86,89,89,,,small,1,,,,,A minor,76,,,,,,,medium,3,small,1,instrumental,100,none,1,,,percussion,94,,,,,,
Spookyv8.wav,Unknown,Unknown,music,99,high,82,,,,,Electronic,79,Downtempo,44,Hip Hop,38,Alternative Hip Hop,22,quirky,100,,,positive,63,90,100,,,small,1,,,,,A minor,82,,,,,,,medium,3,small,1,instrumental,100,none,1,,,percussion,100,,,,,,
TheWolf.wav,Unknown,Unknown,music,100,medium,60,,,,,Electronic,49,Hip Hop,43,Downtempo,39,Alternative Hip Hop,21,powerful,59,relaxed,25,neutral,1,94,100,,,small,1,,,,,A minor,82,,,,,,,medium,3,small,1,instrumental,100,none,1,,,percussion,100,,,,,,
Bossed.wav,Unknown,Unknown,music,100,medium,49,,,,,Electronic,100,,,,,,,powerful,80,angry,18,negative,88,170,71,86,29,small,1,,,,,D minor,37,A minor,29,,,,,medium,3,small,1,instrumental,100,none,1,,,percussion,100,,,,,,
Bells.wav,Unknown,Unknown,music,98,medium,69,,,,,Electronic,87,Ambient,28,Indie,27,,,quirky,36,neutral,35,neutral,0,89,82,,,small,1,,,,,C major,65,A minor,35,,,,,medium,3,small,1,instrumental,100,none,1,,,percussion,69,,,,,,
Assembly.wav,Unknown,Unknown,music,96,low,19,,,,,Electronic,63,Indie,46,Synthwave,34,,,dark,69,tense,21,negative,76,120,100,,,small,1,,,,,E minor,49,A minor,35,,,,,medium,3,small,1,instrumental,100,none,1,,,percussion,100,,,,,,
Transform.wav,Unknown,Unknown,music,100,high,73,,,,,Electronic,70,Synthwave,37,Indie,33,,,relaxed,40,powerful,22,neutral,0,86,85,170,15,small,1,,,,,A minor,69,C major,25,,,,,medium,3,small,1,instrumental,100,none,1,,,percussion,100,,,,,,
Comms.wav,Unknown,Unknown,music,100,low,36,,,,,Electronic,100,Breakbeat,25,House,22,,,dark,65,tense,20,negative,80,<=60,71,63,26,small,1,,,,,B minor,61,,,,,,,low,2,small,1,instrumental,100,none,1,,,,,,,,,,
06_New_Matrix.mp3,Unknown,Unknown,music,100,medium,69,,,,,Hip Hop,100,Alternative Hip Hop,33,Old School Hip Hop,29,UK Grime,20,angry,64,powerful,38,negative,82,90,100,,,small,1,,,,,C minor,39,,,,,,,medium,3,small,1,vocal,100,high,4,male,100,percussion,100,,,,,,
09_From the Dust.mp3,Unknown,Unknown,music,99,very high,86,,,,,Hip Hop,85,UK Grime,22,Electronic,20,,,powerful,70,quirky,41,positive,27,128,76,64,24,small,1,,,,,F# minor,80,,,,,,,medium,3,small,1,vocal,83,medium,3,male,97,percussion,100,,,,,,
10_On_Screen.mp3,Unknown,Unknown,music,100,very high,89,,,,,Hip Hop,100,UK Grime,26,Alternative Hip Hop,25,Old School Hip Hop,20,powerful,42,quirky,37,positive,21,136,83,68,17,small,1,,,,,D minor,90,,,,,,,medium,3,small,1,vocal,100,high,4,male,100,percussion,100,,,,,,
08_Mad.mp3,Unknown,Unknown,music,100,high,75,,,,,Hip Hop,100,UK Grime,27,Alternative Hip Hop,26,,,powerful,51,energetic,42,positive,20,96,100,,,small,1,,,,,C major,49,A minor,33,,,,,medium,3,small,1,vocal,100,high,4,male,100,percussion,100,,,,,,
07_Computer_Head.mp3,Unknown,Unknown,music,99,medium,59,,,,,Hip Hop,100,Old School Hip Hop,40,Alternative Hip Hop,35,,,relaxed,48,quirky,28,positive,13,140,83,70,17,small,1,,,,,A minor,41,,,,,,,medium,3,small,1,vocal,100,high,4,male,98,percussion,100,,,,,,
04_Dope.mp3,Unknown,Unknown,music,100,high,72,,,,,Hip Hop,100,Alternative Hip Hop,35,UK Grime,24,,,angry,85,powerful,32,negative,69,140,77,70,23,small,1,,,,,C minor,51,F minor,47,,,,,medium,3,small,1,vocal,100,high,4,male,100,percussion,100,,,,,,
02_Dreams.mp3,Unknown,Unknown,music,100,high,71,,,,,Hip Hop,65,Electronic,54,,,,,energetic,66,powerful,46,positive,30,120,100,,,small,1,,,,,E minor,94,,,,,,,medium,3,small,1,vocal,91,high,4,male,96,percussion,100,,,,,,
01_Save_As.mp3,Unknown,Unknown,music,99,high,83,,,,,Hip Hop,100,UK Grime,44,Alternative Hip Hop,23,Old School Hip Hop,22,angry,55,powerful,43,negative,87,90,99,,,small,1,,,,,A minor,57,E minor,35,,,,,high,4,small,1,vocal,100,high,4,male,100,percussion,88,,,,,,
03_Test_Army.mp3,Unknown,Unknown,music,100,high,70,,,,,Hip Hop,100,UK Grime,69,,,,,powerful,54,angry,39,neutral,4,140,85,70,15,small,1,,,,,E minor,41,,,,,,,medium,3,small,1,vocal,100,high,4,male,100,percussion,100,,,,,,
05_Phantoms.mp3,Unknown,Unknown,music,100,medium,60,,,,,Hip Hop,100,Alternative Hip Hop,46,Old School Hip Hop,20,Pop Rap,20,dark,43,powerful,37,negative,93,92,100,,,small,1,,,,,A minor,86,,,,,,,medium,3,small,1,vocal,100,high,4,male,100,percussion,88,,,,,,
Spend Time.mp3,Unknown,Unknown,music,100,high,74,,,,,Hip Hop,86,Pop Rap,33,Alternative Hip Hop,27,Trap,21,powerful,54,dark,46,negative,84,80,81,160,19,small,1,,,,,A minor,96,,,,,,,medium,3,small,1,vocal,78,medium,3,male,100,percussion,100,,,,,,
Pressure.mp3,Unknown,Unknown,music,100,high,70,,,,,Hip Hop,62,Alternative Hip Hop,32,Old School Hip Hop,29,Pop,25,relaxed,52,romantic,26,neutral,4,86,92,,,small,1,,,,,E minor,45,,,,,,,medium,3,small,1,vocal,100,high,4,mixed,28,percussion,100,,,,,,
Never.mp3,Unknown,Unknown,music,97,high,82,,,,,Hip Hop,64,Pop,25,UK Grime,23,,,quirky,35,energetic,32,positive,18,145,96,,,small,1,,,,,A minor,75,,,,,,,medium,3,small,1,vocal,100,high,4,mixed,34,percussion,100,,,,,,
Strippers.mp3,Unknown,Unknown,music,100,very high,89,,,,,Hip Hop,100,Alternative Hip Hop,25,Pop Rap,21,,,angry,89,powerful,30,negative,74,90,100,,,small,1,,,,,E minor,55,A minor,33,,,,,medium,3,small,1,vocal,100,high,4,male,100,percussion,100,,,,,,
Lets Dance.mp3,Unknown,Unknown,music,100,high,76,,,,,Hip Hop,100,Alternative Hip Hop,33,Old School Hip Hop,21,UK Grime,20,powerful,97,energetic,20,neutral,3,90,100,,,small,1,,,,,E minor,88,,,,,,,high,4,small,1,vocal,100,high,4,male,100,percussion,100,,,,,,
Flickin.mp3,Unknown,Unknown,music,62,medium,45,,,,,Hip Hop,85,Electronic,36,UK Grime,28,,,dark,34,energetic,31,neutral,0,135,88,68,12,small,1,,,,,A minor,78,,,,,,,medium,3,small,1,vocal,83,medium,3,male,100,percussion,56,,,,,,
Daytime64.mp3,Unknown,Unknown,music,100,very high,88,,,,,Hip Hop,100,Trap,30,UK Grime,29,Pop Rap,23,quirky,44,powerful,42,positive,21,141,94,,,small,1,,,,,C minor,100,,,,,,,medium,3,small,1,vocal,100,high,4,male,98,percussion,94,,,,,,
Go.mp3,Unknown,Unknown,music,100,very high,88,,,,,Hip Hop,92,Old School Hip Hop,26,UK Grime,25,Alternative Hip Hop,23,quirky,62,energetic,24,positive,54,150,97,,,small,1,,,,,A minor,67,E minor,31,,,,,medium,3,small,1,vocal,100,high,4,male,88,percussion,100,,,,,,
Down Low.mp3,Unknown,Unknown,music,100,very high,90,,,,,Electro Pop,39,Pop,35,Indie,32,Indietronica,20,powerful,47,quirky,29,positive,16,86,85,172,15,small,1,,,,,A minor,92,,,,,,,medium,3,small,1,vocal,81,medium,3,female,100,percussion,100,,,,,,
Watch.mp3,Unknown,Unknown,music,92,high,76,,,,,Hip Hop,81,Electronic,43,,,,,powerful,44,dark,24,negative,92,140,97,,,small,1,,,,,C minor,82,,,,,,,medium,3,small,1,vocal,100,high,4,male,100,percussion,81,,,,,,
Militant.mp3,Militant,Unknown,music,99,very high,90,,,,,Electronic,43,Hip Hop,42,,,,,powerful,60,angry,28,negative,88,121,95,,,small,1,,,,,F minor,35,C major,35,,,,,high,4,medium,2,vocal,62,medium,3,male,81,percussion,88,,,,,,
Money.mp3,Money,Unknown,music,99,high,79,,,,,Hip Hop,100,Alternative Hip Hop,36,UK Grime,27,Old School Hip Hop,26,dark,41,powerful,30,negative,83,124,77,62,23,small,1,,,,,A# minor,92,,,,,,,medium,3,small,1,instrumental,100,none,1,,,percussion,100,,,,,,
Magical.mp3,Magical,Unknown,music,100,high,81,,,,,Hip Hop,84,Dancehall,26,Old School Hip Hop,24,Reggae,23,quirky,56,romantic,22,positive,33,90,100,,,small,1,,,,,C minor,75,,,,,,,medium,3,small,1,vocal,100,high,4,male,81,percussion,100,,,,,,
Multi Million.mp3,Multi Million,Unknown,music,99,very high,91,,,,,Electronic,80,Hip Hop,40,UK Grime,34,,,powerful,52,energetic,37,neutral,3,170,100,,,small,1,,,,,D# minor,31,,,,,,,high,4,small,1,instrumental,100,none,1,,,percussion,100,,,,,,
War.mp3,War,Unknown,music,100,high,81,,,,,Hip Hop,77,Electronic,44,UK Grime,24,Dubstep,22,powerful,76,energetic,34,neutral,1,140,97,,,small,1,,,,,F minor,43,C minor,37,,,,,medium,3,small,1,vocal,100,high,4,male,97,percussion,100,,,,,,
Get It.mp3,Get It,Unknown,music,95,medium,58,,,,,Hip Hop,100,Old School Hip Hop,52,Alternative Hip Hop,35,,,quirky,64,energetic,21,positive,40,140,74,70,26,small,1,,,,,F minor,67,,,,,,,medium,3,small,1,vocal,96,high,4,male,93,percussion,100,,,,,,
Dollars.mp3,Dollars,Unknown,music,93,very high,93,,,,,Hip Hop,100,Trap,26,UK Grime,25,,,quirky,49,powerful,21,neutral,9,151,90,,,small,1,,,,,D# minor,37,,,,,,,medium,3,small,1,vocal,100,high,4,male,83,percussion,100,,,,,,
Gone.mp3,Gone,Unknown,music,100,high,77,,,,,Hip Hop,100,Alternative Hip Hop,44,Old School Hip Hop,37,,,powerful,100,energetic,17,neutral,2,172,77,86,23,small,1,,,,,A minor,100,,,,,,,medium,3,small,1,vocal,91,high,4,male,100,percussion,100,,,,,,
Heart.mp3,Heart,Unknown,music,92,medium,60,,,,,Hip Hop,66,UK Grime,27,R&B,26,Alternative R&B,23,quirky,85,neutral,17,neutral,0,140,94,,,small,1,,,,,A minor,100,,,,,,,medium,3,small,1,vocal,100,high,4,mixed,38,percussion,100,,,,,,
Crown.mp3,Crown,Unknown,music,91,high,80,,,,,Electronic,81,Dubstep,65,Hip Hop,42,,,powerful,75,dark,18,neutral,0,141,100,,,small,1,,,,,C minor,35,G# minor,25,,,,,medium,3,small,1,vocal,83,medium,3,male,96,percussion,100,,,,,,
